"TipoOperador","Operador","Departamento","Localidad","Direccion","Telefono","Web","EMail",Longitud,Latitud
"Alojamientos Turísticos","HOTEL SPLENDIDO","MONTEVIDEO","MONTEVIDEO","BARTOLOME MITRE 1314","29156171","www.splendidohotel.com.uy","splendidohotel@gmail.com",-56.20267,-34.90507
"Alojamientos Turísticos","HOTEL LAGUNA MERIN","CERRO LARGO","LAGO MERIN","CALLE 11 Y 18","46798033","www.hotellagunamerin.net","S/D",-53.2602,-32.7449
"Alojamientos Turísticos","ARAPEY OASIS TERMAL","SALTO","TERMAS DEL ARAPEY","TERMAS DEL ARAPEY","47682014","www.arapeyoasis.com.uy","bergmannasociados@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","CASA SUAYA","MALDONADO","JOSE IGNACIO","RUTA 10 KM 185,5","42235262","www.bdsestudio.com","registro@bdsestudio.com",54.618965,34.823014
"Inmobiliaria","PROPERTY PARTNERS PUNTA DEL ESTE","MALDONADO","PUNTA DEL ESTE","AV ITALIA ES RIMAS LOCAL 001","092990424","www.ppartnersuruguay.com","macaahumada@gmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","MARCIA TRAVEL","MONTEVIDEO","MONTEVIDEO","CAVIA 3068 APTO 501","099479148","www.marciatravel.com.uy","marciatraveluy@gmail.com",-10000.0,-10000.0
"Inmobiliaria","OCEAN PARK","MALDONADO","OCEAN PARK","RUTA 93 KILOMETRO 111","42559031","S/D","norsofa@adinet.com.uy",-10000.0,-10000.0
"Inmobiliaria","LARROSA Y MARTINS PROPIEDADES","MALDONADO","PUNTA DEL ESTE","ORLANDO PEDRAGOSA SIERRA S/N","098631213","S/D","info@larrosaymartins.com",-10000.0,-10000.0
"Inmobiliaria","GRUPO VILLA","MONTEVIDEO","MONTEVIDEO","PARAGUAY 1321/707","099638700","S/D","constructorabutray@gmail.com",-55.0,-34.0
"Inmobiliaria","ESCRITORIO DUTRA LTDA","MONTEVIDEO","MONTEVIDEO","JAMAICA 3132","26047041","www.escritoriodura.com","sdutra@escritoriodutra.com",-10000.0,-10000.0
"Agencia de viajes Nueva","COLLEGE","MONTEVIDEO","MONTEVIDEO","AVENIDA BRASIL 3150","27088888","www.college.com.uy","administracion@college.com.uy",-10000.0,-10000.0
"Agencia de transportes","DREAM TOUR S.R.L.","MONTEVIDEO","MONTEVIDEO","AVENIDA LA GOLETA S/N, MANZANA 77, SOLAR 9","S/D","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"SALAS DE CONVENCION","HOTEL PUNTA TROUVILLE","MONTEVIDEO","MONTEVIDEO","S/D","27120903","www.puntatroville.com.uy","gerencia@puntatroville.com.uy",-10000.0,-10000.0
"Agencia de transportes","MAPAVIAJES","SORIANO","MERCEDES","HAEDO 940","098846458","S/D","mapatransportes4@gmail.com",-10000.0,-10000.0
"Agencia de transportes","NO DECLARA","CERRO LARGO","MELO","VIEIRA ESTEBAN 1103","099652218","S/D","martin.camano.vieyto@gmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","DGEXPEDICIONES","CANELONES","LAS TOSCAS","CALLE C ENTRE 17 Y RAMBLA","099122719","www.dgexpediciones.com","dgexpediciones@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","SAINT HONORE","ROCHA","CHUY","RAMON MASINI 3208","27077348","www.sainthonore.chuynet.com","saint.honore.paula.g@vera.com.uy",-10000.0,-10000.0
"Agencia de transportes","ARGENTINA REMISES Y MINIBUSES","MONTEVIDEO","MONTEVIDEO","9 DE ABRIL 1658 Y 1660","29249534","www.argentinaremises.com","info@argentinaremises.com",-10000.0,-10000.0
"Agencia de viajes Nueva","INMOBILIARIA PABLO ARENAS","COLONIA","NUEVA HELVECIA","COLON 1157","45546671","www.pabloarenas.com","contacto@pabloarenas.com",-10000.0,-10000.0
"Agencia de transportes","MARIO EDUARDO VIDAL MOREIRA","MALDONADO","MALDONADO","SANTIAGO NIEVAS S/N","098820208","S/D","gestoriatravieso@hotmail.com",-10000.0,-10000.0
"Turismo aventura","INTI AVENTURA","MONTEVIDEO","MONTEVIDEO","DR. JOAQUIN REQUENA 1002/202","099896731","S/D","intiaventura@gmail.com",-10000.0,-10000.0
"Inmobiliaria","BRICK REAL ESTATE","MALDONADO","MALDONADO","CACIQUE BROWN S/N - BARRIO SAN FERNANDO","097605859","www.inmobiliariabrick.com","info@inmobiliariabrick.com",-54.0,-34.0
"Inmobiliaria","ANFIL INMOBILIARIA","MONTEVIDEO","MONTEVIDEO","AVDA. GRAL RIVERA 3484 BIS","26223560","www.grupoanfil.com","sofia.anfil@gmail.com",-10000.0,-10000.0
"Inmobiliaria","JACQUELINE MOREIRA INMOBILIARIA","MALDONADO","PIRIAPOLIS","RAMBLA DE LOS ARGENTINOS 1, PADRÓN 4144, EDIFICIO EMBASSY LOCAL 001","S/D","www.moreirainmobiliaria.com.uy","info@moreirainmobiliaria.com.uy",-10000.0,-10000.0
"Inmobiliaria","M&MBROKER","MALDONADO","PUNTA DEL ESTE","AV. LA PALOMA ESQ. LE MANS, CH ""CLARO DE LUNA""","094387881","www.mmbroker.global","marcelo@mmbroker.global",-10000.0,-10000.0
"SALAS DE CONVENCION","EL MAYOR","RIVERA","RIVERA","AVDA. GRAL. RIVERA 6684","26053828","S/D","gzarate@consultoresuruguay.com",-10000.0,-10000.0
"Inmobiliaria","BAHAMONDE PROPIEDADES","MONTEVIDEO","MONTEVIDEO","DOCTOR ALEJANDRO GALLINAL 1693","26190823","S/D","info@bahamondepropiedades.com.uy",-10000.0,-10000.0
"Agencia de transportes","ADOCA LOGISTICA S.R.L.","SORIANO","JOSÉ ENRIQUE RODÓ","CALLE 16 CASI CALLE 9 (PADRÓN 1038)","099112242","S/D","adocalogistica@gmail.com ; ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Turismo aventura","ALMA AVENTURAS","MALDONADO","MALDONADO","LA CELESTINA ENTRE AGATA Y AMATISTA","094021022","S/D","almaaventurasuy@gmail.com",-10000.0,-10000.0
"Inmobiliaria","F6","MALDONADO","MALDONADO","FRANCISCO ACUÑA DE FIGUEROA 111 APTO 401","099806194","S/D","floguadalupe@hotmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","NO DECLARA","MONTEVIDEO","MONTEVIDEO","FRANCISCO RODRIGO 3085","24806819","S/D","magperentacar@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","YURY'S FREE SHOP","RIVERA","RIVERA","AGRACIADA 514","46235851","www.yuryfreeshop.com","yuryagraciada14@gmail.com",-10000.0,-10000.0
"Inmobiliaria","TIERRA FRESCA PROPIEDADES","MALDONADO","MALDONADO","CALLE 7 ENTRE 4 Y 6, FRACCIONAMIENTO ""ALTOS DE LA LAGUNA"", CHALET ""DESPERTAR""","099903549","S/D","camila.patron27@gmail.com",-10000.0,-10000.0
"Inmobiliaria","MV REAL ESTATE GROUP URUGUAY","MALDONADO","PUNTA DEL ESTE","YUCATAN S/N","094432972","www.vago.com.uy","vagoinfo@gmail.com",-10000.0,-10000.0
"Inmobiliaria","LIJTMAER PROPIEDADES","MALDONADO","PUNTA DEL ESTE","GORLERO 894 PUNTA DEL ESTE","42441310","S/D","S/D",-10000.0,-10000.0
"Guía turístico","JOSE MATA CANEDO","MONTEVIDEO","MONTEVIDEO","RAMON ANADOR 3995/001","26199947","S/D","jomamaca64@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","OPRHA FREE SHOP","RIVERA","RIVERA","BLV. 33 ORIENTALES 1058 SALA 107","46224469","S/D","ana.oprha@hotmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","MACANUDO FREE SHOP","ARTIGAS","BELLA UNION","21 DE SETIEMBRE 2329","S/D","www.macaudo.com","amendelsohn@dfauy.com",-10000.0,-10000.0
"SALAS DE CONVENCION","FERVI FREE SHOP","RIVERA","RIVERA","TREINTA Y TRES 1058 ESC 107 ENTRE AGRACIADA Y SARANDI","46226687","S/D","fervifre@adinet.com.uy",-10000.0,-10000.0
"Turismo aventura","TANDEM FACTORY","MONTEVIDEO","MONTEVIDEO","GABRIEL PEREIRA 2923 APARTAMENTO 102","099352071","www.tandemfactory.uy","facundoperadotto@hotmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","NATURAL FREE SHOP","ROCHA","CHUY","AVDA. GRAL. RIVERA 6684","S/D","S/D","gzarate@consultoresuruguay.com ; nature@vera.com.uy",-10000.0,-10000.0
"SALAS DE CONVENCION","DUTY FREE AMERICAS","ROCHA","CHUY","21 DE SETIEMBRE 2329","24122370","www.dfauy.com","amendelsohn@dfauy.com",-10000.0,-10000.0
"Agencia de transportes","JR VIAJES Y TURISMO","CANELONES","CANELONES","ZORRILLA 394 BIS","43322539","S/D","info@estudiolibra.com.uy",-10000.0,-10000.0
"Inmobiliaria","MARIA MARQUEZ PROPIEDADES","MONTEVIDEO","MONTEVIDEO","18 DE JULIO 1744/1302","24005522","S/D","estudiofrancotaranto@gmail.com",-10000.0,-10000.0
"Inmobiliaria","S/D","MALDONADO","PUNTA BALLENA","CALLE DE LOS ALGARRABOS - PADRON 1026","094236425","S/D","analauraalaguero@hotmail.com",-10000.0,-10000.0
"Inmobiliaria","CAVIA","MALDONADO","PUNTA DEL ESTE","CHIVERTA 11/706","099653722","www.cavia.com.uy","claudia-gandini@hotmail.com",-10000.0,-10000.0
"Inmobiliaria","PUNTA UY","MALDONADO","PUNTA DEL ESTE","AVENIDA ROOSEVELT S/N, EDIFICIO FONTANA DEL ESTE, APARTAMENTO 201","42488403","www.puntauy.com","belen@puntauy.com",-10000.0,-10000.0
"Inmobiliaria","SORHUET & SAPELLI REAL ESTATE","MONTEVIDEO","MONTEVIDEO","DR. ANDRES PUYOL 1643","26006660","www.sorsap.com.uy","as@sys.com.uy",-10000.0,-10000.0
"Agencia de transportes","S/D","MONTEVIDEO","MONTEVIDEO","BVAR MANUEL HERRERA Y OBES 4381","096716000","S/D","gorgaz@hotmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","LOMAS DEL REAL","COLONIA","COLONIA DEL SACRAMENTO","DR. CARLOS MARTINEZ MORENO 174","091944071","www.lomasdelreal.com","aforti@caepsa.com ; alberto@forti.ar",-10000.0,-10000.0
"Alojamientos Turísticos","TERMAS POSADA DEL SIGLO XIX","SALTO","TERMAS DEL DAYMAN","LOS MOLLES Y LOS SAUCES S/N","47369955","www.posadasigloxix.com.uy","adelinsar@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","APART HOTEL LES CHALETS","MALDONADO","MALDONADO","AVENIDA ANTONIO CAMACHO Y MARTIN PASCUAL,COMPLEJO APART HOTEL LES CHALETS","42229750","www.chalet.com.uy","info@chalet.com.uy",-54.9623,-34.9236
"Establecimiento rural","BARRETO & MORATÓ","PAYSANDU","PAYSANDU","10ª SECCIÓN POLICIAL","098848718","www.estanciabuenretiro.com","turismo.info@estanciabuenretiro.com",-56.0,-32.0
"Establecimiento rural","ESTANCIA RENACIMIENTO","CANELONES","ATLANTIDA","RUTA 11 KILOMETRO 157","43702021","www.estanciarenacimiento.com.uy","cabren@netgate.com.uy",-55.7752,-34.7237
"Inmobiliaria","LOPEZ BESOZZI INVERSIONES INMOBILIARIAS","MALDONADO","PIRIAPOLIS","CAMINO VECINAL S/N ENTRE MADRESELVA Y CISNE P6955","098881310","www.lopezbesozzi.com","fernando@lopezbesozzi.com",-10000.0,-10000.0
"Turismo aventura","PASAPORTE AVENTURA","CANELONES","CIUDAD DE LA COSTA","STELLA MARIS MANZANA 529 SOLAR 5","095353035","www.pasaporteaventura.uy","aventurapasaporte@gmail.com",-10000.0,-10000.0
"Agencia de transportes","MICRO TURISMO","COLONIA","COLONIA DEL SACRAMENTO","ODRIOZOLA 265","093779285","S/D","emmanuelpilatti@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","KIBON AVANZA","MONTEVIDEO","MONTEVIDEO","RAMBLA CHARLES DE GAULLE S/N","S/D","www.kibon.com.uy","administracion@kibon.uy",-10000.0,-10000.0
"Inmobiliaria","ITUÑO VONROTZ PROPIEDADES","COLONIA","COLONIA VALDENSE","AV. DANIEL ARMAND UGON 1142","45588892","S/D","martavonrotz@gmail.com",-10000.0,-10000.0
"Inmobiliaria","PROPIEDADES MALDONADO","MALDONADO","MALDONADO","CALLE SARANDI 676, MALDONADO","42222521","S/D","S/D",-10000.0,-10000.0
"Agencia de transportes","SERINI LTDA.","MONTEVIDEO","MONTEVIDEO","ELIAS REGULES 5816","099112487","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Rentadora de autos","TEAM RENT A CAR","MONTEVIDEO","MONTEVIDEO","LUIS SAMBUCETTI 2668","24828000","www.teamrentacar.com.uy","administracion@teamrentacar.com.uy",-56.1733,-34.8919
"Rentadora de autos","AZANZA RENT A CAR","CANELONES","SOLYMAR","AVENIDA INGENIERO LUIS GIANNATTASIO KILOMETRO 22,300 LOCAL 1B","26987141","S/D","azanzarentacar@hotmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","HILTON MOTORS CO S.A.","MONTEVIDEO","MONTEVIDEO","EJIDO 1576","29030733","www.hiltonmotors.uy","hilton@hiltonmotors.com.uy",-10000.0,-10000.0
"Turismo aventura","ECOTURISMO LAGUNA GARZÓN","ROCHA","GARZON","RUTA 10 KM 193","44702778","www.lagunagarzon.uy","ana_amorin@hotmail.com",-10000.0,-10000.0
"Inmobiliaria","TIERRAS DEL ESTE","MALDONADO","GARZON","AV GARZON S/N ENTRE IZCUA Y CNO VECINAL - PADRON 256 - MANZANA 5","093301649","www.tierrasdeleste.com.uy","fpatrone@jpdamiani.com",-54.54332,-34.59369
"Inmobiliaria","ATLANTIC CITY","CANELONES","ATLANTIDA","RAMBLA Y AVENIDA CIRCUNVALACIÓN","S/D","S/D","estudiobieber@vera.com.uy",-10000.0,-10000.0
"SALAS DE CONVENCION","DUTY FREE AMERICAS","CERRO LARGO","RIO BRANCO","21 DE SETIEMBRE 2329","24122370","www.pandauy.com","amendelsohn@dfauy.com",-10000.0,-10000.0
"Inmobiliaria","MOCOTOVICH RODRIGUEZ REAL ESTATE","MALDONADO","PUNTA DEL ESTE","MADAME CURIE ESQ. HENRY DUNANT - LOC 23","42477107","S/D","info@mocotovichrodriguez.com",-10000.0,-10000.0
"Inmobiliaria","MAR & BROKERS","MALDONADO","PUNTA DEL ESTE","SAN DIEGO ENTRE AV DEL MAR Y SAN SEBASTIAN - BARRIO SAN RAFAEL","42436143","S/D","matias.r.olariaga@gmail.com",-54.0,-34.0
"Agencia de transportes","VALDOKA S.A.","TREINTA Y TRES","SANTA CLARA DE OLIMAR","25 DE AGOSTO S/N","099862033","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Agencia de transportes","S/D","CANELONES","SAN JACINTO","MARIA VERA S/N","099706801","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"SALAS DE CONVENCION","OMEGA FREE SHOP","RIVERA","RIVERA","33 ORIENTALES 1224 ERNTRE J. SUAREZ Y ANOLLÉS","46237432","www.omegafreeshop.com","casablancaimpex@gmail.com",-10000.0,-10000.0
"Agencia de viajes Nueva","LO DE LUCAS VIAJES","MONTEVIDEO","MONTEVIDEO","CAMINO ELHORDOY 5396","23155141","S/D","mariocamponovo@gmail.com",-10000.0,-10000.0
"Inmobiliaria","NO DECLARA","MALDONADO","PUNTA DEL ESTE","ROOSEVELT Y ZORRILLA DE SAN MARTIN, EDIFICIO ANTIBES, APTO 020","093849979","S/D","mgtierras@gmail.com",-10000.0,-10000.0
"Inmobiliaria","CAMPOS DEL ESTE NEGOCIOS INMOBILIARIOS","MALDONADO","SAN CARLOS","25 DE AGOSTO 956","42666687","S/D","S/D",-10000.0,-10000.0
"Inmobiliaria","ETXE BIENES RAICES","MONTEVIDEO","CAPURRO","POTOSI 1640","099199211","www.etxe.com.uy","jponcedeleon@etxe.com.uy",-10000.0,-10000.0
"Inmobiliaria","INATURAL NEGOCIOS INMOBILIARIOS","COLONIA","COLONIA DEL SACRAMENTO","RUTA 21 KILÓMETRO 181.800","098300824","www.inmobiliaria.inatural.com.uy","inatural@inatural.com.uy",-10000.0,-10000.0
"Rentadora de autos","AUTO NORTE LTDA.","TACUAREMBO","TACUAREMBO","FELIPE ESQUIVEL 2","46322707","www.autonorte.com.uy","autonorte-ltda@hotmail.com",-10000.0,-10000.0
"Inmobiliaria","VON HAUS","MONTEVIDEO","MONTEVIDEO","QUIJOTE 2643","S/D","S/D","ppereira@sybasociados.com.uy",-10000.0,-10000.0
"Inmobiliaria","AGENTE INMOBILIARIO CARLA CUELLO","CANELONES","SOLYMAR","GRAL. JOSÉ ARTIGAS M29 S9","26824055","S/D","agenteinmobiliariocarlacuello@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","S/D","MONTEVIDEO","MONTEVIDEO","GRAL AGUILAR 1283","22001042","S/D","caborcar@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","DUTY FREE AMERICAS","CERRO LARGO","RIO BRANCO","21 DE SETIEMBRE 2329","24122370","www.dfauy.com","amendelsohn@dfauy.com",-10000.0,-10000.0
"SALAS DE CONVENCION","EQUIPO RENT A CAR","MONTEVIDEO","MONTEVIDEO","PEDRO CAMPBELL 1442 APARTAMENTO 1003","26962672","www.equiporentacar.com.uy","info@equiporentacar.com",-56.1619,-34.9017
"Inmobiliaria","VILLALBA PROPIEDADES","MALDONADO","PUNTA DEL ESTE","CALLE 23 ESQUINA MESANA, EDIFICIO CADAQUES LOCAL 007","42437834","S/D","elianavillarba72@gmail.com",-10000.0,-10000.0
"Agencia de transportes","NO DECLARA","MONTEVIDEO","MONTEVIDEO","FRAY GENEROSO PEREZ 375","098262613","S/D","dra.svalcarcel@gmail.com",-10000.0,-10000.0
"SALAS DE CONVENCION","MARIO FREE SHOP","CERRO LARGO","RIO BRANCO","GRAL ARTIGAS 251","46755782","S/D","yeny.rodriguez@mariofreeshop.com",-10000.0,-10000.0
"Agencia de transportes","FELAN TRANSPORTE S.R.L.","MONTEVIDEO","MONTEVIDEO","TOLON 5631","098112286","S/D","carlomiguelfrancofuentes04@hotmail.com; carlosmiguelfranco04@gmail.com",-10000.0,-10000.0
"Alojamientos Turísticos","HOST","COLONIA","COLONIA DEL SACRAMENTO","CALLE DEL COLEGIO 78","091313233","S/D","jtorres@torresmartinol.com",-10000.0,-10000.0
"Alojamientos Turísticos","PLAZA MAYOR","COLONIA","COLONIA DEL SACRAMENTO","CALLE DEL COMERCIO 111","45225316","www.posadaplazamayor.com","gerencia@posadaplazamayor.com",-57.8525,-34.4719
"Alojamientos Turísticos","NEW HOTEL ARAPEY","MONTEVIDEO","MONTEVIDEO","AVENIDA URUGUAY 925","29007032","www.arapey.com.uy","harapey@adinet.com.uy",-56.1969,-34.9033
"Alojamientos Turísticos","HOTEL JOAN MIRO","MALDONADO","PUNTA DEL ESTE","NACIONES UNIDAS Y SELVA NEGRA, PARADA 11","42480230","www.joanmirohotel.com","S/D",-54.9473,-34.9372
"Alojamientos Turísticos","MIDLAND HOTEL PASO DE LOS TOROS","TACUAREMBO","PASO DE LOS TOROS","VECINAL Nº PADRON 16611 - PARAJE RINCON DE LOS BALSAMOS","24007944","S/D","julio@jbasoaciados.com.uy",-10000.0,-10000.0
"Agencia de transportes","EXPRESO CHAGO LTDA.","MONTEVIDEO","MONTEVIDEO","GUALBERTO MENDEZ 2026","22092287","www.grupocotar.com.uy","cotar2005@adinet.com.uy",-10000.0,-10000.0
